skill_id,skill_name,class_id,tier,type,cost_mp,cost_hp,cooldown_s,startup_f,active_f,recovery_f,hit_interval_f,hitbox,range_m,angle_deg,damage_mult,damage_type,hits,hitstun_f,knockback_m,launch_v,status,armor,invincible_f,sweep,intercept,channel,cancel_min_tier,jump_cancel,special,notes,learn_level,acq_type,animation,vfx,sound
BMG_T3_002,百龙流星打,BMG,T3,active,110,0,26,14,24,22,3,fan:r2.8:a110,2.8,110,0.28,phys,8,10,0,-,none,none,-,0,0,0,T3+,0,系统辅助:攻速+30%:持续,末段击退2m,45,job_change,AM_BMG_T3_002,VX_BMG_T3_002_HIT,SD_BMG_T3_002_HIT
BMG_T3_003,怒龙穿心,BMG,T3,active,105,0,25,14,3,20,-,box:0.8x0.8x3.0,3.0,-,2.03,phys,1,30,0,-,none,none,-,0,0,0,T3+,0,对空:×1.15,形似直刺剜心口,55,job_change,AM_BMG_T3_003,VX_BMG_T3_003_HIT,SD_BMG_T3_003_HIT
BMG_T4_001,豪龙破军,BMG,T4,active,170,0,55,18,4,8,-,box:1.0x1.0x4.0,4.0,-,2.72,phys,1,30,1.5,-,none,none,-,0,0,0,T4+,0,部位结算:头部×1.5;收招极快,GDD-GAP:表列后摇22f与要点8f冲突，取8f,65,job_change,AM_BMG_T4_001,VX_BMG_T4_001_HIT,SD_BMG_T4_001_HIT
BMG_T4_002,风卷流云,BMG,T4,active,150,0,50,16,2s,20,12,circle:r3.5,3.5,-,0.26,magic,10,10,0,-,slow:40%,none,none,0,0,0,T4+,0,配合蛟龙出海:云雾视野,旋转战矛带气流,75,job_change,AM_BMG_T4_002,VX_BMG_T4_002_HIT,SD_BMG_T4_002_HIT
BMG_T4_003,斗破山河,BMG,T4,active,150,0,50,20,-,22,-,circle:r2.5,2.5,-,2.55,magic,1,30,0,-,none,none,-,0,0,0,T4+,0,延迟:0.8s;隐蔽爆发,矛插地传输斗气间接袭击,75,job_change,AM_BMG_T4_003,VX_BMG_T4_003_HIT,SD_BMG_T4_003_HIT
BMG_U_001,伏龙翔天,BMG,U,active,280,0,120,30,10,28,-,box:1.2x2.0x8.0,8.0,-,2.25,magic,2,40,0,-,none,SA:30-40f,-,0,0,0,none,0,抓取;二段:物理+魔法;龙抬头微操;多目标,一段1.60刺杀+二段1.40魔法爆炸；方向可操；v0.4压线：有效倍率6.00→4.50（U档单发≤35% HP 红线）,70,job_change,AM_BMG_U_001,VX_BMG_U_001_HIT,SD_BMG_U_001_HIT
BMG_PAS_001,斗者意志,BMG,PAS,passive,0,0,0,-,-,-,-,none,-,-,0,none,-,0,0,-,none,none,-,0,0,0,-,0,连击阶段强化,10/20/30/40/50/60/120连→攻速+3~24% 移速+2~24% ATK+2~15%,50,awakening,AM_BMG_PAS_001,VX_BMG_PAS_001,SD_BMG_PAS_001
ELE_BAS_001,法术弹,ELE,BAS,basic,0,0,0,8,1,10,-,proj:28m/s:25m,25,-,0.30,magic,1,10,0,-,none,none,-,0,1,0,any,0,-,GDD14.2.4,1,normal,AM_ELE_BAS_001,VX_ELE_BAS_001_HIT,SD_ELE_BAS_001_HIT
ELE_T1_001,元素之力,ELE,T1,active,50,0,10,30,3s,16,20,circle:r6.0,6.0,-,0.74,magic,-,0,0,7.0,none,none,-,0,0,1,none,0,吟唱;持续浮空场;24职业挑空最慢但范围最大,持续3s群挑空,1,normal,AM_ELE_T1_001,VX_ELE_T1_001_HIT,SD_ELE_T1_001_HIT
ELE_T1_002,光电环,ELE,T1,active,40,0,5,6,-,8,-,circle:r3.0,3.0,-,0.80,light,1,12,0,-,paralysis:0.5s,none,none,0,0,0,T1+,0,发动超快,身遭电光环,5,normal,AM_ELE_T1_002,VX_ELE_T1_002_HIT,SD_ELE_T1_002_HIT
ELE_T1_003,火焰爆弹,ELE,T1,active,40,0,5,12,-,12,-,proj:30m/s:22m,22,-,0.84,fire,1,12,0.5,-,burn:60:4s,none,none,0,0,1,T1+,0,-,火系,10,normal,AM_ELE_T1_003,VX_ELE_T1_003_HIT,SD_ELE_T1_003_HIT
ELE_T1_004,冰霜雪球,ELE,T1,active,45,0,7,14,-,14,-,proj:22m/s:20m,20,-,0.86,ice,1,14,0.5,-,slow:30%,none,none,0,0,1,T1+,0,-,冰系,10,normal,AM_ELE_T1_004,VX_ELE_T1_004_HIT,SD_ELE_T1_004_HIT
ELE_T2_001,暗夜飞影,ELE,T2,active,60,0,12,14,-,14,-,proj:26m/s:18m,18,-,1.05,dark,1,14,0,-,forcespin:180°,none,none,0,0,1,T2+,0,强制目标转身180°,暗系特殊效果,25,job_change,AM_ELE_T2_001,VX_ELE_T2_001_HIT,SD_ELE_T2_001_HIT
ELE_T2_002,烈焰冲击,ELE,T2,active,70,0,6,16,-,14,-,circle:r2.5:延迟0,2.5,-,1.20,fire,1,0,0,7.0,none,none,-,0,0,0,T2+,0,目标脚下火法阵;浮空,爆发力强,20,job_change,AM_ELE_T2_002,VX_ELE_T2_002_HIT,SD_ELE_T2_002_HIT
ELE_T2_003,暴风雪,ELE,T2,active,80,0,8,16,3s,16,18,circle:r4.5,4.5,-,1.00,ice,-,10,0,-,slow:40%,none,none,0,0,0,T2+,0,-,原著CD8s,20,job_change,AM_ELE_T2_003,VX_ELE_T2_003_HIT,SD_ELE_T2_003_HIT
ELE_T2_004,冰墙,ELE,T2,deploy,70,0,14,14,8s,14,-,wall:6m:600HP,6.0,-,0,ice,-,0,0,-,none,none,-,0,0,0,-,0,部署;可控碎裂(爆裂0.60),挡弹道分割战场,35,job_change,AM_ELE_T2_004,VX_ELE_T2_004,SD_ELE_T2_004
ELE_T2_005,火墙,ELE,T2,deploy,70,0,13,14,5s,14,-,wall:5m:-,5.0,-,1.00,fire,-,10,0,-,burn:30:持续,none,none,0,0,0,-,0,部署,火系墙,30,job_change,AM_ELE_T2_005,VX_ELE_T2_005_HIT,SD_ELE_T2_005_HIT
ELE_PAS_001,移动施法,ELE,PAS,passive,0,0,0,-,-,-,-,none,-,-,0,none,-,0,0,-,none,none,-,0,0,0,-,0,移动中可吟唱:移速50%,转职被动,30,job_change,AM_ELE_PAS_001,VX_ELE_PAS_001,SD_ELE_PAS_001
ELE_T3_001,烈焰风暴,ELE,T3,active,110,0,25,18,4s,18,12,circle:r5.0,5.0,-,1.50,fire,-,10,0,-,burn:45:持续,none,none,0,0,0,T3+,0,-,原著60级火海,60,job_change,AM_ELE_T3_001,VX_ELE_T3_001_HIT,SD_ELE_T3_001_HIT
ELE_T3_002,冰线,ELE,T3,active,95,0,24,14,3s,14,-,line:12m:宽1.5,12.0,-,0,ice,-,0,0,-,freeze:4s@100%,none,none,0,0,0,-,0,结界;触碰100%冻结4s;不可跃过;存留12s;画线处不能有单位,每场限1条,40,job_change,AM_ELE_T3_002,VX_ELE_T3_002,SD_ELE_T3_002
ELE_T3_003,魔法禁锢,ELE,T3,active,85,0,22,12,-,12,-,proj:28m/s:18m,18,-,1.55,dark,1,12,0,-,silence:4s:仅法术,none,none,0,0,1,T3+,0,打断吟唱,暗系,35,job_change,AM_ELE_T3_003,VX_ELE_T3_003_HIT,SD_ELE_T3_003_HIT
ELE_T3_004,瞬间移动,ELE,T3,active,90,0,25,4,-,8,-,self,8.0,-,0,none,-,0,0,-,none,none,-,0,0,0,any,0,瞬发位移:打断难度高,光系高阶,45,job_change,AM_ELE_T3_004,VX_ELE_T3_004,SD_ELE_T3_004
ELE_T4_001,雷光炼狱,ELE,T4,active,160,0,55,20,-,22,-,circle:r2.0:6道,2.0,-,0.48,light,6,20,0,-,paralysis:0.5s,none,none,0,0,0,T4+,0,引导:首道命中后其余自动追踪,原著75级六道雷光,75,job_change,AM_ELE_T4_001,VX_ELE_T4_001_HIT,SD_ELE_T4_001_HIT
ELE_T4_002,天雷地火,ELE,T4,active,165,0,55,22,4s,24,24,circle:r5.0,5.0,-,0.56,light,5,20,0,-,burn:30:持续,none,none,0,0,0,T4+,0,双属性:光+火;落点手动操控,原著70级,70,job_change,AM_ELE_T4_002,VX_ELE_T4_002_HIT,SD_ELE_T4_002_HIT
ELE_T4_003,全神贯注,ELE,T4,buff,90,0,45,10,-,10,-,none,-,-,0,none,-,0,0,-,none,none,-,0,0,0,any,0,下一个法术必然瞬发,状态技,50,job_change,AM_ELE_T4_003,VX_ELE_T4_003,SD_ELE_T4_003
ELE_U_001,绝对零度,ELE,U,active,280,0,120,36,-,26,-,circle:r4.0,4.0,-,1.20,ice,1,0,0,-,freeze:8s:结界,SSA:0-36f,-,0,0,0,none,0,吟唱;空间结界:无弹道时间;冻结期伤害递减×0.88,24职业冰系之最（原著）,75,job_change,AM_ELE_U_001,VX_ELE_U_001_HIT,SD_ELE_U_001_HIT
SUM_BAS_001,魔杖弹,SUM,BAS,basic,0,0,0,8,1,10,-,proj:24m/s:15m,15,-,0.28,magic,1,10,0,-,none,none,-,0,1,0,any,0,-,GDD14.3,1,normal,AM_SUM_BAS_001,VX_SUM_BAS_001_HIT,SD_SUM_BAS_001_HIT
SUM_T1_001,藤刺,SUM,T1,active,40,0,8,14,4,14,-,box:0.6x0.6x3.0,3.0,-,0.80,phys,1,14,0,7.0,none,none,-,0,0,0,T1+,0,藤蔓刺出,本体起浮技,1,normal,AM_SUM_T1_001,VX_SUM_T1_001_HIT,SD_SUM_T1_001_HIT
SUM_T1_002,召唤·哥布林,SUM,T1,summon,45,0,8,12,-,10,-,unit,15,-,0.30,phys,-,0,0,-,none,none,-,0,0,0,-,0,召唤位;存在90s;扔石头20%眩晕,HP400,5,normal,AM_SUM_T1_002,VX_SUM_T1_002_HIT,SD_SUM_T1_002_HIT
SUM_T1_003,召唤·雷精灵,SUM,T1,summon,45,0,10,12,-,10,-,unit,15,-,0.74,light,-,0,0,-,paralysis@15%,none,none,0,0,0,-,0,召唤位;可同时2只;存在60s,光系,25,job_change,AM_SUM_T1_003,VX_SUM_T1_003_HIT,SD_SUM_T1_003_HIT
SUM_T1_004,召唤·火精灵,SUM,T1,summon,45,0,10,12,-,10,-,unit,15,-,0.74,fire,-,0,0,-,burn:30:2s@30%,none,none,0,0,0,-,0,召唤位;可同时2只;存在60s,火系,30,job_change,AM_SUM_T1_004,VX_SUM_T1_004_HIT,SD_SUM_T1_004_HIT
SUM_T2_001,召唤·冰精灵,SUM,T2,summon,50,0,12,12,-,10,-,unit,15,-,1.02,ice,-,0,0,-,slow:30%:2s,none,none,0,0,0,-,0,召唤位;存在60s,冰系,35,job_change,AM_SUM_T2_001,VX_SUM_T2_001_HIT,SD_SUM_T2_001_HIT
SUM_T2_002,召唤·暗精灵,SUM,T2,summon,50,0,12,12,-,10,-,unit,15,-,1.02,dark,-,0,0,-,blind:2s@20%,none,none,0,0,0,-,0,召唤位;存在60s,暗系,35,job_change,AM_SUM_T2_002,VX_SUM_T2_002_HIT,SD_SUM_T2_002_HIT
SUM_T2_003,召唤·小飞龙,SUM,T2,summon,40,0,6,10,-,8,-,unit,15,-,1.00,fire,-,0,0,-,burn:20:2s,none,none,0,0,0,-,0,召唤位;召唤快;存在60s,火系低阶缠斗,25,job_change,AM_SUM_T2_003,VX_SUM_T2_003_HIT,SD_SUM_T2_003_HIT
SUM_T2_004,召唤·冰狼,SUM,T2,summon,55,0,12,12,-,10,-,unit,15,-,1.09,ice,-,0,0,-,slow:30%:2s,none,none,0,0,0,-,0,召唤位;坦克:HP900;存在90s,物理+冰冻减速,30,job_change,AM_SUM_T2_004,VX_SUM_T2_004_HIT,SD_SUM_T2_004_HIT
SUM_T2_005,召唤·灵猫,SUM,T2,summon,50,0,10,12,-,10,-,unit,15,-,1.00,dark,-,0,0,-,none,none,-,0,0,0,-,0,召唤位;高仇恨视野;敏捷,暗系,30,job_change,AM_SUM_T2_005,VX_SUM_T2_005_HIT,SD_SUM_T2_005_HIT
SUM_T2_006,召唤·雷鹰,SUM,T2,summon,50,0,10,12,-,10,-,unit:飞行,15,-,1.02,light,-,0,0,-,paralysis@15%,none,none,0,0,0,-,0,召唤位;飞行;口吐落雷,可对空,30,job_change,AM_SUM_T2_006,VX_SUM_T2_006_HIT,SD_SUM_T2_006_HIT
SUM_T3_001,召唤·死亡骑士,SUM,T3,summon,90,0,20,16,-,12,-,unit,15,-,1.74,phys,-,0,0,-,none,none,-,0,0,0,-,0,召唤位;坦克:HP1200;迟钝,物理高防,40,job_change,AM_SUM_T3_001,VX_SUM_T3_001_HIT,SD_SUM_T3_001_HIT
SUM_T3_002,召唤·魔界之花,SUM,T3,summon,85,0,18,16,30s,12,-,zone:r4:30s,4.0,-,1.57,dark,-,0,0,-,root:藤蔓,none,none,0,0,0,-,0,召唤位;无法移动;仅1朵;受火伤+50%,毒蕊/根刺/藤蔓卷取/撕咬,40,job_change,AM_SUM_T3_002,VX_SUM_T3_002_HIT,SD_SUM_T3_002_HIT
SUM_T1_007,印记,SUM,T1,active,25,0,3,8,-,8,-,proj:20m/s:12m,12,-,0,none,-,0,0,-,none,none,-,0,0,0,any,0,指挥:指定移动/攻击/跟随,低耗指挥技,15,normal,AM_SUM_T1_007,VX_SUM_T1_007,SD_SUM_T1_007
SUM_T1_008,跟随,SUM,T1,active,15,0,2,4,-,4,-,none,-,-,0,none,-,0,0,-,none,none,-,0,0,0,any,0,指挥:召唤兽跟随,等阶提高控制距离,10,normal,AM_SUM_T1_008,VX_SUM_T1_008,SD_SUM_T1_008
SUM_T2_007,鞭挞,SUM,T2,active,40,0,10,10,-,10,-,box:0.8x0.8x2.0,2.0,-,1.00,phys,1,12,0.5,-,none,none,-,0,0,0,T2+,0,双用途:召唤兽增益6s/对敌硬直,原著可打敌人,20,job_change,AM_SUM_T2_007,VX_SUM_T2_007_HIT,SD_SUM_T2_007_HIT
SUM_T3_003,交替·换位,SUM,T3,active,80,0,22,6,-,6,-,self:30m内单位,30,-,0,none,-,0,0,-,none,none,-,0,0,0,any,0,换位,核心生存技,35,job_change,AM_SUM_T3_003,VX_SUM_T3_003,SD_SUM_T3_003
SUM_T3_004,合击令,SUM,T3,buff,90,0,20,8,8s,10,-,none,-,-,0,none,-,0,0,-,none,none,-,0,0,0,-,0,全兽集火:攻击+20%,兽群命令,35,job_change,AM_SUM_T3_004,VX_SUM_T3_004,SD_SUM_T3_004
SUM_T3_005,精灵合体,SUM,T3,active,70,0,15,10,-,10,-,none,-,-,0,none,-,0,0,-,none,none,-,0,0,0,-,0,两同属性小精灵→大精灵,火刃/落冰/闪电三形态,45,job_change,AM_SUM_T3_005,VX_SUM_T3_005,SD_SUM_T3_005
SUM_T4_001,精灵王,SUM,T4,summon,170,0,55,18,30s,20,-,unit,15,-,2.38,magic,-,0,0,-,none,none,-,0,0,0,-,0,消耗4大精灵合体;元素切割/裂痕/元素炮,存在4min→arena30s,55,job_change,AM_SUM_T4_001,VX_SUM_T4_001_HIT,SD_SUM_T4_001_HIT
SUM_U_001,兽王四元素阵,SUM,U,active,280,0,120,24,20s,26,-,circle:r6.0,6.0,-,0,none,-,0,0,-,none,none,-,0,0,0,none,0,四兽站位发动:战力大幅上升;阵期召唤封印,四兽流核心,75,job_change,AM_SUM_U_001,VX_SUM_U_001,SD_SUM_U_001
SUM_U_002,精灵献祭,SUM,U,active,260,0,120,20,-,24,-,circle:r4.0,4.0,-,4.09,magic,-,30,1.0,-,none,none,-,0,0,0,none,0,消耗全部精灵:伤害∝数量×剩余生命×等阶,单次上限4500,75,job_change,AM_SUM_U_002,VX_SUM_U_002_HIT,SD_SUM_U_002_HIT
SUM_PAS_001,召唤兽强化,SUM,PAS,passive,0,0,0,-,-,-,-,none,-,-,0,none,-,0,0,-,none,none,-,0,0,0,-,0,全召唤兽攻防+8%,转职被动,20,job_change,AM_SUM_PAS_001,VX_SUM_PAS_001,SD_SUM_PAS_001
WIT_BAS_001,扫把横扫一段,WIT,BAS,basic,0,0,0,9,3,12,-,fan:r2.5:a180,2.5,180,0.34,phys,1,12,0,-,none,none,-,0,0,0,any,0,-,GDD14.4.4,1,normal,AM_WIT_BAS_001,VX_WIT_BAS_001_HIT,SD_WIT_BAS_001_HIT
WIT_BAS_002,扫把横扫二段,WIT,BAS,basic,0,0,0,9,3,12,-,fan:r2.5:a180,2.5,180,0.36,phys,1,12,0,-,none,none,-,0,0,0,any,0,-,-,1,normal,AM_WIT_BAS_002,VX_WIT_BAS_002_HIT,SD_WIT_BAS_002_HIT
WIT_BAS_003,扫把横扫三段,WIT,BAS,basic,0,0,0,11,3,14,-,fan:r2.5:a180,2.5,180,0.42,phys,1,14,1.0,-,none,none,-,0,0,0,any,0,-,击退1.0m,1,normal,AM_WIT_BAS_003,VX_WIT_BAS_003_HIT,SD_WIT_BAS_003_HIT
WIT_T1_001,清扫,WIT,T1,active,40,0,8,12,4,14,-,fan:r2.2:a120,2.2,120,0.78,phys,1,14,0,5.5,none,none,-,0,0,0,T1+,0,浮空:24职业最差,低浮空短连窗,1,normal,AM_WIT_T1_001,VX_WIT_T1_001_HIT,SD_WIT_T1_001_HIT
WIT_T1_002,魔法弹,WIT,T1,active,30,0,4,10,-,10,-,proj:24m/s:14m,14,-,0.76,magic,1,10,0,-,none,none,-,0,1,0,T1+,0,最低阶法术,-,5,normal,AM_WIT_T1_002,VX_WIT_T1_002_HIT,SD_WIT_T1_002_HIT
WIT_T1_003,魔法射线,WIT,T1,active,40,0,6,10,-,10,-,proj:40m/s:16m,16,-,0.80,magic,1,10,0,-,none,none,-,0,1,0,T1+,0,射速快难闪避,星星射线,25,job_change,AM_WIT_T1_003,VX_WIT_T1_003_HIT,SD_WIT_T1_003_HIT
WIT_T1_004,扫把冲刺,WIT,T1,active,65,0,11,10,-,14,-,box:1.0x1.0x7.0,7.0,-,0.84,phys,1,14,2.0,-,none,none,-,0,0,0,T1+,0,突进:7m:可空中,GDD-GAP:v0.3表缺行（v0.2值回补）,25,job_change,AM_WIT_T1_004,VX_WIT_T1_004_HIT,SD_WIT_T1_004_HIT
WIT_T1_005,药剂护盾,WIT,T1,buff,45,0,14,8,6s,10,-,none,-,-,0,none,-,0,0,-,none,none,-,0,0,0,any,0,护盾:800;受击反弹灼烧,GDD-GAP:v0.3表缺行（v0.2值回补）,25,job_change,AM_WIT_T1_005,VX_WIT_T1_005,SD_WIT_T1_005
WIT_T2_001,暗影斗篷,WIT,T2,grab,75,0,14,14,-,16,-,circle:r3.0,3.0,-,1.11,dark,1,0,0,-,none,none,-,0,0,0,T2+,0,抓取;范围判定,可抓浮空,15,normal,AM_WIT_T2_001,VX_WIT_T2_001_HIT,SD_WIT_T2_001_HIT
WIT_T2_002,修鲁鲁,WIT,T2,deploy,55,0,30,10,20s,12,-,deploy:嘲讽r2:HP200,2.0,-,0,none,-,0,0,-,taunt:2m:仅召唤物/部署物,none,none,0,0,0,-,0,嘲讽布娃娃,对玩家无效（原著）,10,normal,AM_WIT_T2_002,VX_WIT_T2_002,SD_WIT_T2_002
WIT_T2_003,驱散粉,WIT,T2,active,55,0,12,10,-,12,-,cone:r4:a60,4.0,60,0,dark,-,10,0,-,dispel:1;slow:20%:10s,none,none,0,0,0,-,0,去除目标1个增益,对buff职业答案,20,job_change,AM_WIT_T2_003,VX_WIT_T2_003,SD_WIT_T2_003
WIT_T2_004,寒冰粉,WIT,T2,buff,45,0,14,8,20s,10,-,none,-,-,0,ice,-,0,0,-,none,none,-,0,0,0,any,0,普攻附冰:减速→几率冻结,20s状态,25,job_change,AM_WIT_T2_004,VX_WIT_T2_004,SD_WIT_T2_004
WIT_T2_005,熔岩烧瓶,WIT,T2,active,60,0,12,12,-,14,-,lob:r3.0,10.0,-,1.07,fire,-,10,0,-,burn:40:持续,none,none,0,0,1,-,0,抛物线;地面火海5s;直命中+0.3,落地生花,35,job_change,AM_WIT_T2_005,VX_WIT_T2_005_HIT,SD_WIT_T2_005_HIT
WIT_T2_006,星星折线,WIT,T2,active,55,0,10,12,-,12,-,proj:35m/s:16m:折射,16,-,1.04,magic,1,10,0,-,none,none,-,0,1,0,T2+,0,折射:绕过掩体,射线变种,30,job_change,AM_WIT_T2_006,VX_WIT_T2_006_HIT,SD_WIT_T2_006_HIT
WIT_T2_007,闪电锁链,WIT,T2,active,65,0,12,12,-,12,-,proj:30m/s:12m,12,-,1.09,light,1,25,0,-,shock:感电1层,none,none,0,0,1,T2+,0,-,-,30,job_change,AM_WIT_T2_007,VX_WIT_T2_007_HIT,SD_WIT_T2_007_HIT
WIT_T3_001,酸雨烧瓶,WIT,T3,active,75,0,18,14,6s,14,-,lob:zone:r4:6s,12.0,-,1.50,dark,-,10,0,-,curse:减防,none,none,0,0,1,-,0,区域减防,签名区域,40,job_change,AM_WIT_T3_001,VX_WIT_T3_001_HIT,SD_WIT_T3_001_HIT
WIT_T3_002,寒冰降雨,WIT,T3,channel,85,0,22,16,2.5s,16,20,circle:r3.5,3.5,-,1.50,ice,-,10,0,-,slow:30%,none,none,0,0,1,T3+,0,持续冰伤;打断吟唱,压制吟唱职业,40,job_change,AM_WIT_T3_002,VX_WIT_T3_002_HIT,SD_WIT_T3_002_HIT
WIT_T3_003,扫把旋风,WIT,T3,active,95,0,22,12,18,16,4,circle:r4.0,4.0,-,0.27,phys,8,10,0,7.0,none,none,-,0,0,0,T3+,0,末段击飞7.0,笼罩范围极大,35,job_change,AM_WIT_T3_003,VX_WIT_T3_003_HIT,SD_WIT_T3_003_HIT
WIT_T3_004,重力加速拍,WIT,T3,active,90,0,24,14,-,16,-,fan:r2.8:a120,2.8,120,1.93,phys,1,0,0,-,none,none,-,1,0,0,T3+,0,强制倒地,加大重力加速度的拍击,45,job_change,AM_WIT_T3_004,VX_WIT_T3_004_HIT,SD_WIT_T3_004_HIT
WIT_T3_005,空袭俯冲,WIT,T3,active,75,0,13,12,-,16,-,box:1.2x1.2x8.0,8.0,-,1.84,phys,1,0,0,-,none,none,-,1,0,0,T2+,0,飞行中俯冲;扫地,GDD-GAP:v0.3表缺行（v0.2值回补）,30,job_change,AM_WIT_T3_005,VX_WIT_T3_005_HIT,SD_WIT_T3_005_HIT
WIT_U_001,禁忌大爆炸,WIT,U,active,280,0,120,34,-,26,-,circle:r6.0,12.0,-,4.30,magic,1,0,0,8.0,全异常满值,SSA:0-34f,-,0,0,0,none,0,蓄力:1.5s;全异常满值,炼金终极,75,job_change,AM_WIT_U_001,VX_WIT_U_001_HIT,SD_WIT_U_001_HIT
WIT_PAS_001,扫把掌握,WIT,PAS,passive,0,0,0,-,-,-,-,none,-,-,0,none,-,0,0,-,none,none,-,0,0,0,-,0,飞行4s(+1);空中连击;凌空判定强,转职被动,25,job_change,AM_WIT_PAS_001,VX_WIT_PAS_001,SD_WIT_PAS_001
